,DEIT + CLIP,,,,CNN,,,,,,,,
99,2,3,3,8150,3,2,3,8150,,,,,
100,3,2,1,8152,3,2,2,8151,,,,,
101,5,0,0,8153,5,0,0,8153,,,,,
102,5,0,0,8153,2,3,2,8151,,,,,
103,5,0,0,8153,3,2,3,8150,,,,,
104,2,3,3,8150,5,0,0,8153,,,,,
105,4,1,1,8152,2,3,1,8152,,,,,
106,5,0,0,8153,5,0,0,8153,,,,,
107,2,3,1,8152,2,3,1,8152,,,,,
108,4,1,1,8152,1,4,4,8149,,,,,
109,5,0,0,8153,2,3,3,8150,,,,,
110,5,0,0,8153,4,1,3,8150,,,,,
111,3,2,1,8152,4,1,2,8151,,,,,
112,3,2,1,8152,2,3,4,8149,,,,,
113,5,0,0,8153,2,3,2,8151,,,,,
114,3,2,1,8152,3,2,2,8151,,,,,
115,4,1,1,8152,3,2,2,8151,,,,,
116,3,2,1,8152,4,1,1,8152,,,,,
117,5,0,0,8153,4,1,1,8152,,,,,
118,4,1,1,8152,4,1,1,8152,,,,,
119,3,2,2,8151,4,1,1,8152,,,,,
120,3,2,2,8151,5,0,0,8153,,,,,
121,5,0,0,8153,4,1,1,8152,,,,,
122,5,0,0,8153,3,2,3,8150,,,,,
123,5,0,0,8153,5,0,2,8151,,,,,
124,5,0,0,8153,1,4,1,8152,,,,,
125,5,0,0,8153,1,4,3,8150,,,,,
126,5,0,0,8153,3,2,1,8152,,,,,
127,5,0,0,8153,5,0,0,8153,,,,,
128,5,0,0,8153,4,1,1,8152,,,,,
129,4,1,1,8152,2,3,2,8151,,,,,
130,4,1,1,8152,5,0,0,8153,,,,,
131,2,3,1,8152,5,0,0,8153,,,,,
132,5,0,0,8153,3,2,2,8151,,,,,
133,5,0,0,8153,3,2,2,8151,,,,,
134,4,1,1,8152,3,2,2,8151,,,,,
135,5,0,0,8153,3,2,2,8151,,,,,
136,3,2,2,8151,1,4,4,8149,,,,,
137,5,0,0,8153,4,1,1,8152,,,,,
138,4,1,1,8152,2,3,3,8150,,,,,
139,5,0,0,8153,1,4,2,8151,,,,,
140,5,0,0,8153,5,0,0,8153,,,,,
141,2,3,2,8151,1,4,2,8151,,,,,
142,4,1,1,8152,2,3,3,8150,,,,,
143,5,0,0,8153,2,3,3,8150,,,,,
144,5,0,0,8153,2,3,3,8150,,,,,
145,5,0,0,8153,3,2,3,8150,,,,,
146,5,0,0,8153,4,1,1,8152,,,,,
147,5,0,0,8153,4,1,2,8151,,,,,
148,3,2,1,8152,5,0,0,8153,,,,,
149,5,0,0,8153,5,0,0,8153,,,,,
150,5,0,0,8153,3,2,2,8151,,,,,
151,5,0,0,8153,1,4,3,8150,,,,,
152,3,2,2,8151,5,0,0,8153,,,,,
153,5,0,0,8153,5,0,1,8152,,,,,
154,3,2,2,8151,1,4,2,8151,,,,,
155,3,2,1,8152,5,0,1,8152,,,,,
156,5,0,0,8153,4,1,2,8151,,,,,
157,5,0,0,8153,2,3,1,8152,,,,,
158,5,0,0,8153,1,4,4,8149,,,,,
159,5,0,0,8153,5,0,0,8153,,,,,
160,5,0,0,8153,5,0,0,8153,,,,,
161,5,0,0,8153,1,4,3,8150,,,,,
162,5,0,0,8153,1,4,3,8150,,,,,
163,5,0,0,8153,2,3,2,8151,,,,,
164,5,0,0,8153,3,2,2,8151,,,,,
165,3,2,2,8151,2,3,3,8150,,,,,
166,5,0,0,8153,1,4,4,8149,,,,,
167,5,0,0,8153,3,2,1,8152,,,,,
168,4,1,1,8152,4,1,1,8152,,,,,
169,3,2,1,8152,4,1,1,8152,,,,,
170,5,0,0,8153,3,2,1,8152,,,,,
171,5,0,0,8153,1,4,4,8149,,,,,
172,3,2,2,8151,2,3,3,8150,,,,,
173,5,0,0,8153,1,4,1,8152,,,,,
174,5,0,0,8153,5,0,0,8153,,,,,
175,5,0,0,8153,4,1,1,8152,,,,,
176,5,0,0,8153,5,0,0,8153,,,,,
177,3,2,1,8152,1,4,2,8151,,,,,
178,5,0,0,8153,3,2,1,8152,,,,,
179,5,0,0,8153,3,2,2,8151,,,,,
180,5,0,0,8153,5,0,0,8153,,,,,
181,3,2,2,8151,1,4,5,8148,,,,,
182,2,3,3,8150,3,2,2,8151,,,,,
183,5,0,0,8153,1,4,4,8149,,,,,
184,5,0,0,8153,1,4,2,8151,,,,,
185,4,1,1,8152,3,2,1,8152,,,,,
186,5,0,0,8153,1,4,4,8149,,,,,
187,4,1,1,8152,3,2,1,8152,,,,,
188,5,0,0,8153,4,1,1,8152,,,,,
189,2,3,3,8150,2,3,3,8150,,,,,
190,5,0,0,8153,2,3,3,8150,,,,,
191,3,2,1,8152,1,4,4,8149,,,,,
192,4,1,1,8152,2,3,3,8150,,,,,
193,4,1,1,8152,4,1,1,8152,,,,,
194,5,0,0,8153,5,0,0,8153,,,,,
195,5,0,0,8153,1,4,3,8150,,,,,
196,3,2,1,8152,4,1,1,8152,,,,,
197,2,3,3,8150,5,0,1,8152,,,,,
198,5,0,0,8153,1,4,4,8149,,,,,
199,5,0,0,8153,2,3,2,8151,,,,,
200,3,2,2,8151,2,3,3,8150,,,,,
201,3,2,2,8151,1,4,4,8149,,,,,
202,5,0,0,8153,1,4,4,8149,,,,,
203,4,1,1,8152,4,1,2,8151,,,,,
204,5,0,0,8153,5,0,0,8153,,,,,
205,2,3,3,8150,1,4,4,8149,,,,,
206,5,0,0,8153,2,3,4,8149,,,,,
207,5,0,0,8153,3,2,2,8151,,,,,
208,5,0,0,8153,5,0,1,8152,,,,,
209,5,0,0,8153,1,4,2,8151,,,,,
210,5,0,0,8153,5,0,0,8153,,,,,
211,4,1,1,8152,1,4,2,8151,,,,,
212,3,2,2,8151,4,1,3,8150,,,,,
213,3,2,2,8151,4,1,1,8152,,,,,
214,3,2,1,8152,5,0,0,8153,,,,,
215,5,0,0,8153,1,4,4,8149,,,,,
216,4,1,1,8152,3,2,1,8152,,,,,
217,4,1,1,8152,2,3,2,8151,,,,,
218,4,1,1,8152,2,3,1,8152,,,,,
219,5,0,0,8153,2,3,1,8152,,,,,
220,3,2,2,8151,3,2,2,8151,,,,,
221,4,1,1,8152,2,3,2,8151,,,,,
222,5,0,0,8153,3,2,1,8152,,,,,
223,3,2,2,8151,1,4,4,8149,,,,,
224,3,2,1,8152,3,2,2,8151,,,,,
225,3,2,2,8151,1,4,1,8152,,,,,
226,4,1,1,8152,1,4,1,8152,,,,,
227,3,2,2,8151,4,1,2,8151,,,,,
228,3,2,2,8151,3,2,3,8150,,,,,
229,4,1,1,8152,1,4,3,8150,,,,,
230,5,0,0,8153,5,0,0,8153,,,,,
231,4,1,1,8152,2,3,2,8151,,,,,
232,4,1,1,8152,3,2,1,8152,,,,,
233,3,2,2,8151,2,3,4,8149,,,,,
234,5,0,0,8153,5,0,0,8153,,,,,
235,5,0,0,8153,3,2,2,8151,,,,,
236,5,0,0,8153,5,0,0,8153,,,,,
237,3,2,1,8152,2,3,3,8150,,,,,
238,5,0,0,8153,5,0,0,8153,,,,,
239,2,3,2,8151,4,1,2,8151,,,,,
240,3,2,1,8152,4,1,3,8150,,,,,
241,2,3,2,8151,4,1,1,8152,,,,,
242,2,3,3,8150,1,4,3,8150,,,,,
243,3,2,2,8151,3,2,2,8151,,,,,
244,5,0,0,8153,3,2,3,8150,,,,,
245,5,0,0,8153,2,3,3,8150,,,,,
246,2,3,1,8152,5,0,0,8153,,,,,
247,2,3,1,8152,5,0,1,8152,,,,,
248,3,2,2,8151,4,1,1,8152,,,,,
249,5,0,0,8153,5,0,1,8152,,,,,
250,2,3,3,8150,3,2,3,8150,,,,,
251,3,2,1,8152,2,3,3,8150,,,,,
252,4,1,1,8152,1,4,2,8151,,,,,
253,5,0,0,8153,2,3,2,8151,,,,,
254,3,2,2,8151,3,2,1,8152,,,,,
255,5,0,0,8153,1,4,2,8151,,,,,
256,4,1,1,8152,1,4,1,8152,,,,,
257,5,0,0,8153,5,0,0,8153,,,,,
258,5,0,0,8153,2,3,3,8150,,,,,
259,5,0,0,8153,5,0,0,8153,,,,,
260,5,0,0,8153,2,3,3,8150,,,,,
261,3,2,2,8151,2,3,3,8150,,,,,
262,4,1,1,8152,5,0,0,8153,,,,,
263,4,1,0,8153,3,2,1,8152,,,,,
264,5,0,0,8153,4,1,2,8151,,,,,
265,5,0,0,8153,2,3,3,8150,,,,,
266,5,0,0,8153,1,4,4,8149,,,,,
267,5,0,0,8153,2,3,2,8151,,,,,
268,4,1,0,8153,4,1,2,8151,,,,,
269,3,2,2,8151,5,0,0,8153,,,,,
270,4,1,0,8153,2,3,3,8150,,,,,
271,4,1,1,8152,5,0,0,8153,,,,,
272,5,0,0,8153,5,0,1,8152,,,,,
273,3,2,2,8151,4,1,1,8152,,,,,
274,2,3,1,8152,5,0,0,8153,,,,,
275,4,1,0,8153,2,3,3,8150,,,,,
276,3,2,2,8151,1,4,6,8147,,,,,
277,3,2,1,8152,2,3,2,8151,,,,,
278,5,0,0,8153,1,4,3,8150,,,,,
279,5,0,0,8153,3,2,2,8151,,,,,
280,4,1,0,8153,1,4,1,8152,,,,,
281,4,1,1,8152,1,4,3,8150,,,,,
282,4,1,0,8153,3,2,1,8152,,,,,
283,2,3,3,8150,1,4,1,8152,,,,,
284,5,0,0,8153,3,2,2,8151,,,,,
285,5,0,0,8153,1,4,2,8151,,,,,
286,5,0,0,8153,4,1,2,8151,,,,,
287,5,0,0,8153,3,2,3,8150,,,,,
288,3,2,0,8153,2,3,1,8152,,,,,
289,5,0,0,8153,3,2,2,8151,,,,,
290,3,2,1,8152,2,3,4,8149,,,,,
291,4,1,1,8152,2,3,3,8150,,,,,
292,3,2,0,8153,3,2,2,8151,,,,,
293,5,0,0,8153,4,1,1,8152,,,,,
294,5,0,0,8153,4,1,2,8151,,,,,
295,4,1,1,8152,5,0,0,8153,,,,,
296,5,0,0,8153,5,0,0,8153,,,,,
297,5,0,0,8153,4,1,2,8151,,,,,
298,4,1,1,8152,5,0,0,8153,,,,,
299,3,2,0,8153,1,4,3,8150,,,,,
300,5,0,0,8153,4,1,2,8151,,,,,
301,4,1,1,8152,4,1,1,8152,,,,,
302,5,0,0,8153,4,1,2,8151,,,,,
303,4,1,0,8153,1,4,3,8150,,,,,
304,5,0,0,8153,3,2,1,8152,,,,,
305,3,2,0,8153,4,1,3,8150,,,,,
306,5,0,0,8153,1,4,2,8151,,,,,
307,4,1,0,8153,1,4,5,8148,,,,,
308,5,0,0,8153,4,1,1,8152,,,,,
309,5,0,0,8153,5,0,0,8153,,,,,
310,4,1,0,8153,4,1,1,8152,,,,,
311,5,0,0,8153,5,0,0,8153,,,,,
312,5,0,0,8153,2,3,4,8149,,,,,
313,4,1,1,8152,5,0,0,8153,,,,,
314,5,0,0,8153,2,3,3,8150,,,,,
315,5,0,0,8153,3,2,2,8151,,,,,
316,5,0,0,8153,1,4,3,8150,,,,,
317,5,0,0,8153,5,0,0,8153,,,,,
318,3,2,1,8152,4,1,1,8152,,,,,
319,5,0,0,8153,1,4,1,8152,,,,,
320,5,0,0,8153,5,0,1,8152,,,,,
321,3,2,0,8153,5,0,0,8153,,,,,
322,5,0,0,8153,5,0,0,8153,,,,,
323,4,1,1,8152,2,3,2,8151,,,,,
324,5,0,0,8153,4,1,2,8151,,,,,
325,5,0,0,8153,3,2,2,8151,,,,,
326,5,0,0,8153,3,2,2,8151,,,,,
327,5,0,0,8153,3,2,2,8151,,,,,
328,2,3,2,8151,1,4,1,8152,,,,,
329,5,0,0,8153,2,3,2,8151,,,,,
330,2,3,1,8152,3,2,2,8151,,,,,
331,5,0,0,8153,3,2,2,8151,,,,,
332,2,3,2,8151,5,0,0,8153,,,,,
333,4,1,1,8152,2,3,3,8150,,,,,
334,2,3,2,8151,2,3,1,8152,,,,,
335,5,0,0,8153,4,1,1,8152,,,,,
336,4,1,1,8152,4,1,2,8151,,,,,
337,3,2,2,8151,5,0,0,8153,,,,,
338,3,2,2,8151,2,3,2,8151,,,,,
339,5,0,0,8153,1,4,1,8152,,,,,
340,4,1,1,8152,3,2,2,8151,,,,,
341,5,0,0,8153,1,4,3,8150,,,,,
342,3,2,1,8152,5,0,0,8153,,,,,
343,3,2,0,8153,5,0,0,8153,,,,,
344,3,2,2,8151,3,2,2,8151,,,,,
345,2,3,0,8153,4,1,1,8152,,,,,
346,3,2,2,8151,2,3,2,8151,,,,,
347,5,0,0,8153,4,1,2,8151,,,,,
348,4,1,0,8153,2,3,1,8152,,,,,
349,5,0,0,8153,5,0,0,8153,,,,,
350,5,0,0,8153,4,1,1,8152,,,,,
351,5,0,0,8153,1,4,3,8150,,,,,
352,4,1,0,8153,5,0,1,8152,,,,,
353,5,0,0,8153,3,2,2,8151,,,,,
354,5,0,0,8153,4,1,2,8151,,,,,
355,3,2,1,8152,4,1,1,8152,,,,,
356,5,0,0,8153,4,1,1,8152,,,,,
357,3,2,1,8152,2,3,1,8152,,,,,
358,4,1,1,8152,4,1,1,8152,,,,,
359,4,1,0,8153,1,4,3,8150,,,,,
360,4,1,0,8153,4,1,1,8152,,,,,
361,5,0,0,8153,3,2,2,8151,,,,,
362,4,1,1,8152,4,1,1,8152,,,,,
363,4,1,0,8153,1,4,1,8152,,,,,
364,3,2,2,8151,1,4,3,8150,,,,,
365,3,2,1,8152,3,2,2,8151,,,,,
366,5,0,0,8153,1,4,2,8151,,,,,
367,5,0,0,8153,1,4,3,8150,,,,,
368,4,1,1,8152,2,3,2,8151,,,,,
369,5,0,0,8153,1,4,1,8152,,,,,
370,5,0,0,8153,1,4,3,8150,,,,,
371,3,2,2,8151,4,1,1,8152,,,,,
372,5,0,0,8153,1,4,3,8150,,,,,
373,2,3,3,8150,2,3,4,8149,,,,,
374,5,0,0,8153,4,1,1,8152,,,,,
375,2,3,3,8150,4,1,2,8151,,,,,
376,2,3,2,8151,1,4,2,8151,,,,,
377,5,0,0,8153,5,0,1,8152,,,,,
378,3,2,1,8152,1,4,4,8149,,,,,
379,2,3,1,8152,2,3,2,8151,,,,,
380,4,1,0,8153,5,0,0,8153,,,,,
381,3,2,2,8151,5,0,0,8153,,,,,
382,4,1,1,8152,5,0,0,8153,,,,,
383,5,0,0,8153,1,4,4,8149,,,,,
384,5,0,0,8153,2,3,3,8150,,,,,
385,4,1,1,8152,3,2,2,8151,,,,,
386,4,1,0,8153,4,1,1,8152,,,,,
387,5,0,0,8153,3,2,2,8151,,,,,
388,5,0,0,8153,2,3,4,8149,,,,,
389,5,0,0,8153,1,4,4,8149,,,,,
390,4,1,0,8153,4,1,2,8151,,,,,
391,5,0,0,8153,4,1,1,8152,,,,,
392,5,0,0,8153,2,3,3,8150,,,,,
393,4,1,0,8153,5,0,0,8153,,,,,
394,5,0,0,8153,3,2,2,8151,,,,,
395,3,2,1,8152,2,3,2,8151,,,,,
396,5,0,0,8153,1,4,5,8148,,,,,
397,3,2,2,8151,1,4,2,8151,,,,,
398,5,0,0,8153,3,2,2,8151,,,,,
399,2,3,3,8150,5,0,0,8153,,,,,
400,3,2,2,8151,1,4,2,8151,,,,,
401,2,3,3,8150,1,4,4,8149,,,,,
402,4,1,1,8152,1,4,6,8147,,,,,
403,4,1,1,8152,2,3,2,8151,,,,,
404,3,2,1,8152,3,2,1,8152,,,,,
405,5,0,0,8153,2,3,2,8151,,,,,
406,5,0,0,8153,2,3,3,8150,,,,,
407,4,1,0,8153,2,3,2,8151,,,,,
408,3,2,2,8151,4,1,2,8151,,,,,
409,3,2,1,8152,1,4,3,8150,,,,,
410,5,0,0,8153,3,2,2,8151,,,,,
411,4,1,0,8153,4,1,2,8151,,,,,
412,4,1,0,8153,2,3,3,8150,,,,,
413,5,0,0,8153,1,4,1,8152,,,,,
414,4,1,0,8153,1,4,1,8152,,,,,
415,5,0,0,8153,1,4,5,8148,,,,,
416,3,2,1,8152,2,3,2,8151,,,,,
417,5,0,0,8153,3,2,2,8151,,,,,
418,5,0,0,8153,4,1,1,8152,,,,,
419,4,1,0,8153,4,1,1,8152,,,,,
420,2,3,3,8150,4,1,1,8152,,,,,
421,3,2,1,8152,3,2,2,8151,,,,,
422,5,0,0,8153,4,1,1,8152,,,,,
423,4,1,1,8152,3,2,4,8149,,,,,
424,5,0,0,8153,3,2,1,8152,,,,,
425,5,0,0,8153,3,2,1,8152,,,,,
426,4,1,0,8153,5,0,0,8153,,,,,
427,5,0,0,8153,1,4,4,8149,,,,,
428,3,2,0,8153,3,2,2,8151,,,,,
429,5,0,0,8153,2,3,2,8151,,,,,
430,4,1,0,8153,3,2,1,8152,,,,,
431,4,1,0,8153,4,1,1,8152,,,,,
432,4,1,0,8153,1,4,3,8150,,,,,
433,5,0,0,8153,2,3,1,8152,,,,,
434,4,1,0,8153,2,3,4,8149,,,,,
435,5,0,0,8153,4,1,1,8152,,,,,
436,3,2,1,8152,4,1,2,8151,,,,,
437,5,0,0,8153,4,1,2,8151,,,,,
438,5,0,0,8153,1,4,4,8149,,,,,
439,5,0,0,8153,4,1,1,8152,,,,,
440,5,0,0,8153,3,2,2,8151,,,,,
441,3,2,1,8152,5,0,1,8152,,,,,
442,5,0,0,8153,5,0,1,8152,,,,,
443,2,3,2,8151,4,1,1,8152,,,,,
444,4,1,0,8153,1,4,3,8150,,,,,
445,5,0,0,8153,2,3,1,8152,,,,,
446,3,2,2,8151,1,4,2,8151,,,,,
447,4,1,1,8152,5,0,0,8153,,,,,
448,5,0,0,8153,3,2,2,8151,,,,,
449,5,0,0,8153,3,2,2,8151,,,,,
450,3,2,1,8152,3,2,2,8151,,,,,
451,4,1,0,8153,2,3,3,8150,,,,,
452,3,2,1,8152,3,2,1,8152,,,,,
453,3,2,2,8151,5,0,0,8153,,,,,
454,3,2,0,8153,2,3,3,8150,,,,,
455,4,1,1,8152,4,1,1,8152,,,,,
456,5,0,0,8153,4,1,1,8152,,,,,
457,5,0,0,8153,1,4,3,8150,,,,,
458,5,0,0,8153,3,2,3,8150,,,,,
459,5,0,0,8153,4,1,1,8152,,,,,
460,5,0,0,8153,3,2,2,8151,,,,,
461,2,3,2,8151,3,2,3,8150,,,,,
462,3,2,2,8151,1,4,2,8151,,,,,
463,2,3,2,8151,5,0,0,8153,,,,,
464,4,1,1,8152,5,0,0,8153,,,,,
465,5,0,0,8153,2,3,2,8151,,,,,
466,5,0,0,8153,1,4,2,8151,,,,,
467,5,0,0,8153,2,3,1,8152,,,,,
468,5,0,0,8153,2,3,3,8150,,,,,
469,5,0,0,8153,4,1,1,8152,,,,,
470,4,1,0,8153,3,2,2,8151,,,,,
471,3,2,2,8151,3,2,2,8151,,,,,
472,5,0,0,8153,4,1,1,8152,,,,,
473,5,0,0,8153,5,0,1,8152,,,,,
474,5,0,0,8153,1,4,4,8149,,,,,
475,5,0,0,8153,1,4,3,8150,,,,,
476,5,0,0,8153,1,4,2,8151,,,,,
477,3,2,1,8152,5,0,0,8153,,,,,
478,5,0,0,8153,5,0,0,8153,,,,,
479,3,2,2,8151,1,4,2,8151,,,,,
480,4,1,0,8153,4,1,1,8152,,,,,
481,4,1,0,8153,3,2,3,8150,,,,,
482,3,2,2,8151,2,3,1,8152,,,,,
483,5,0,0,8153,1,4,4,8149,,,,,
484,5,0,0,8153,5,0,0,8153,,,,,
485,5,0,0,8153,5,0,1,8152,,,,,
486,3,2,2,8151,3,2,3,8150,,,,,
487,5,0,0,8153,4,1,1,8152,,,,,
488,5,0,0,8153,2,3,2,8151,,,,,
489,5,0,0,8153,3,2,3,8150,,,,,
490,4,1,1,8152,4,1,1,8152,,,,,
491,2,3,0,8153,1,4,3,8150,,,,,
492,4,1,1,8152,2,3,0,8153,,,,,
493,5,0,0,8153,5,0,0,8153,,,,,
494,4,1,0,8153,1,4,3,8150,,,,,
495,2,3,2,8151,2,3,1,8152,,,,,
496,5,0,0,8153,2,3,3,8150,,,,,
497,5,0,0,8153,1,4,3,8150,,,,,
498,5,0,0,8153,5,0,0,8153,,,,,
499,5,0,0,8153,3,2,1,8152,,,,,
500,5,0,0,8153,4,1,0,8153,,,,,
501,5,0,0,8153,2,3,2,8151,,,,,
502,4,1,1,8152,5,0,1,8152,,,,,
503,3,2,1,8152,4,1,2,8151,,,,,
504,5,0,0,8153,5,0,0,8153,,,,,
505,2,3,2,8151,3,2,1,8152,,,,,
506,3,2,1,8152,5,0,0,8153,,,,,
507,3,2,2,8151,5,0,1,8152,,,,,
508,3,2,1,8152,2,3,2,8151,,,,,
509,5,0,0,8153,4,1,2,8151,,,,,
510,5,0,0,8153,4,1,1,8152,,,,,
511,4,1,0,8153,3,2,1,8152,,,,,
512,3,2,1,8152,5,0,0,8153,,,,,
513,5,0,0,8153,3,2,0,8153,,,,,
514,5,0,0,8153,2,3,3,8150,,,,,
515,5,0,0,8153,5,0,1,8152,,,,,
516,5,0,0,8153,5,0,1,8152,,,,,
517,5,0,0,8153,2,3,0,8153,,,,,
518,5,0,0,8153,2,3,0,8153,,,,,
519,4,1,1,8152,5,0,0,8153,,,,,
520,5,0,0,8153,1,4,2,8151,,,,,
521,3,2,2,8151,1,4,3,8150,,,,,
522,4,1,0,8153,3,2,2,8151,,,,,
523,3,2,2,8151,5,0,0,8153,,,,,
524,5,0,0,8153,4,1,1,8152,,,,,
525,5,0,0,8153,1,4,0,8153,,,,,
526,2,3,2,8151,4,1,1,8152,,,,,
527,5,0,0,8153,1,4,1,8152,,,,,
528,4,1,1,8152,3,2,2,8151,,,,,
529,5,0,0,8153,1,4,2,8151,,,,,
530,5,0,0,8153,2,3,3,8150,,,,,
531,4,1,0,8153,1,4,0,8153,,,,,
532,3,2,1,8152,2,3,3,8150,,,,,
533,4,1,1,8152,1,4,1,8152,,,,,
534,5,0,0,8153,4,1,0,8153,,,,,
535,4,1,1,8152,1,4,0,8153,,,,,
536,3,2,1,8152,2,3,1,8152,,,,,
537,5,0,0,8153,4,1,1,8152,,,,,
538,5,0,0,8153,5,0,0,8153,,,,,
539,2,3,1,8152,2,3,2,8151,,,,,
540,2,3,1,8152,4,1,1,8152,,,,,
541,4,1,0,8153,2,3,2,8151,,,,,
542,2,3,3,8150,1,4,3,8150,,,,,
543,5,0,0,8153,1,4,2,8151,,,,,
544,5,0,0,8153,1,4,3,8150,,,,,
545,5,0,0,8153,1,4,3,8150,,,,,
