ID,Fraud,Title,Description,Architectural Style,Property Types,Interior/Exterior,Feature
b31,AI,Traditional Red Brick Two-story House with Chimney Stacks,"A traditional two-story constructed with red brick and featuring classic architectural details. The roof is a simple, sloped design with dark gray and chimney stacks at both ends, and classic, and the windows have white frame.",,,,
b32,AI,Mediterranean-Inspired House with White Stucco Walls and Red Terracotta Roof,"A Mediterranean-inspired design, with smooth white stucco walls and red terracotta roof tiles. It has large windows and a combination of flat and sloped roof sections.",,,,
b33,AI,Red Brick Facade Townhomes,"The exterior of the building showcases a blend of traditional red brick and contemporary elements. It features flat, rectangular windows complemented by expansive floor-to-ceiling glass panels",,,,
b34,AI,Two-story Semi-Detached Red Brick House,"The facade is dominated by neutral color, complemented by crisp white trim and a slate gray roof. The symmetrical design is anchored by a central portico with Doric columns, leading to a double-door entrance.",,,,
b35,AI,Classic Two-story Red Brick House with White Frames and Slate Roof,"Aclassic two-story brick residence with a traditional design. The red brick facade is accented by white window frames, black door, and a slate roof.",,,,
b36,AI,"Modern House with White and Gray Facade, and Wood Accents","The house exterior has clean lines and geometric shapes, utilizing a neutral color palette of white and gray. Flat surfaces dominate the design, with minimal window framing that enhances the modern look. The facade is accented by geometric wood elements, creating a distinct and contemporary appearance.",,,,
b37,AI,Modern and Traditional Townhouses with Warm Brick and Dark Wood Cladding,"The exterior showcases a blend of modern and traditional design elements. The facade is a striking combination of warm brick and dark wood cladding, creating a visually appealing contrast. The clean lines and geometric shapes are complemented by large windows with black frames.",,,,
b38,AI,"Victorian Mansion with Red Brick Facade, Dormers, and Tower","The exterior of this Victorian mansion features a red brick facade characterized by intricate detailing. It includes a steeply pitched roof with dormers, bay windows, and a prominent tower.",,,,
b39,AI,Red Brick House with White Central Portico,"The facade consists of red brick, accented by white trim and a slate brown roof. The design is symmetrical, featuring a white central portico as a focal point.",,,,
b40,AI,Yellow-Brown Facade with Dark Brown Accents Wall,"The exterior of the building features a striking blend of modern and traditional design elements. The facade is dominated by a yellow-brown hue, contrasted by dark brown accents on the balconies and windows.",,,,
b41,AI,Warm Neutral Facade with Copper-Toned Roof,"The facade has a warm, neutral tone, complemented by a richly textured, copper-toned roof. The symmetrical design is anchored by a central portico, leading to a double-door entrance framed by columns.
",,,,
b42,AI,Traditional Brick Townhouses with White Windows and Dark Gray Roofs,An attached brick townhouses with a traditional design. The red brick facade is complemented by white window frames and dark gray roofs. The entrance to each townhouse features a black door and a white frame.,,,,
b43,AI,Modern Minimalist White and Gray House with a garage,"The exterior of the house is a striking example of modern minimalist architecture. The clean lines and geometric shapes are complemented by a neutral color palette of white and gray, with contrasting wood accents on the facade and garage door. It has large floor-to-ceiling windows with brown frames.",,,,
b44,AI,Red Brick House with Front Porch,It features a red-brick facade with a steeply pitched roof and a front porch.,,,,
b45,AI,Circular Facade House,"A futuristic home with a white, circular facade, a domed roof, large floor-to-ceiling windows, and a lush green lawn.",,,,
b46,AI,Modern Farmhouse Retreat,"A contemporary farmhouse with a gray-toned facade, a metal roof, stone accents, large floor-to-ceiling windows, and a lush green lawn.",,,,
b47,AI,Townhouses with Black Wall and Brick Accents,"The exterior of the townhouses features a black wall, complemented by brick accents on the sides and balconies of each floor.",,,,
b48,AI,Red Brick House with Steeply Pitched Roof,The house features a red brick facade with a steeply pitched roof covered in darker brown clay tiles.,,,,
b49,AI,Modern Red Facade House,"The house has a red facade and features a flat roof, multiple floor-to-ceiling windows, and balconies for each floor.",,,,
b50,AI,French Country-Style House with Stucco Facade and Dark Gray Roof,"A French country-style house with stucco facade in a warm, neutral tone and a textured, dark gray roof.ÿ",,,,
b51,AI,Earth-Tone Facade with Wooden Accents,"The facade is dominated by a soft earth-tone shade, with wooden accents and large windows.",,,,
b52,AI,Two-story Semi-Detached Red Brick House,"A red brick two-story semi-detached with a pitched tile roof. The windows are large and modern, with brown frames, and the front door is white with a brown trim.",,,,
b53,AI,Red Brick House with Pitched Tile Roof,"The house has a red brick facade with a pitched tile roof. The windows are white with double glazing, and the front doors are white and black, with a small front garden with shrubs and flowers.ÿ",,,,
b54,AI,Light Yellow Tudor House with Brown Accent,A light yellow facade tudor house with brown trim with multiple large windows and panes.,,,,
b55,AI,Two-Story Brick Home with Dark Brown Roof,A two-story brick house with dark brown roof and white windows. The front door is black with a white trim and small front porch.,,,,
b56,AI,Contemporary Two-Story Modern Home with Flat Roof,"A modern, two-story house with a flat roof. The windows are large and have black frames, a glass sliding door at the front, and a balcony on the second floor.ÿ",,,,
b57,AI,Luxurious Three-Story Modern Home,A modern three-story house with a flat roof. It is painted white with wood accents. It has multiple large windows. There is a balcony on the second floor with glass railings. The house has a swimming pool and a large lawn.,,,,
b58,AI,Mediterranean-Style Two-Story Brick Home with Arched Door,"Two-story brick house with a Mediterranean-style, large windows, and an arched door. There is a front porch with a small staircase",,,,
b59,AI,Sleek Minimalist Two-Story Home with Contrasting Dark Accents,"A modern two-story structure with a clean, minimalist design. It is painted with and contrasting dark accents around the windows and doors.",,,,
b60,AI,Grand Three-Story Romanesque Mansion with Brownstone Exterior,A three-story brick mansion with a traditional Richardsonian Romanesque style. It is constructed of brownstone and features a steeply pitched roof,,,,
b61,AI,Minimalist Modern Home with Flat Roof and Black-Framed Windows,"A modern house with a clean, minimalist design. It is painted white with contrasting gray accents. The roof is flat with a small overhang. The windows are large and rectangular, framed in black.",,,,
b62,AI,Contemporary Four-Story Apartment with Floor-to-Ceiling Windows,"Modern four-story apartment building with a sleek, contemporary design. It is constructed of concrete and features a flat roof with a metal cladding. The windows are large and floor-to-ceiling, with black frames.",,,,
b63,AI,Colorful Contemporary Multi-Story Apartment with Yellow Accents,Modern multi-story apartment building with a colorful and contemporary design. It is painted white with contrasting yellow accents on the balconies and trim. It has flat roof and large rectangular windows.,,,,
b64,AI,Sleek Modern Five-Story Building with Wood Accents,"A modern five-story building with a sleek, contemporary design. It is constructed of black wall and features a flat roof with a wood accent. The windows are large and floor-to-ceiling.",,,,
b65,AI,Minimalist Two-Story Modern House with Low-Pitched Gabled Roof,"A two-story modern house with a clean, minimalist design. It is painted white with contrasting dark brown accents around the windows and doors. The roof is a low-pitched, gabled design made of dark brown tiles. It has a central entrance and a balcony above.",,,,
b66,AI,Green House with Steep Roof and Stone Archway,"A house with a distinctive green exterior. It features a steeply pitched roof with multiple gables and a prominent chimney. The windows are large and rectangular, with brown mullions and leaded panes. The front entrance is framed by a stone archway and a decorative porch.",,,,
b67,AI,Classic Red Brick Prairie Style House with Deep Porch,A brick Prairie style house with a low-pitched roof and overhanging eaves. It is constructed of red brick with contrasting wood trim. The front entrance is framed by a deep porch with brick piers and a wood ceiling.,,,,
b68,AI,Elegant Light Brown House with Steep Roof and Dark Brown Trim,A house with a steeply pitched roof and multiple gables painted a light brown color with contrasting dark brown trim. The front entrance is framed by a portico.,,,,
b69,AI,Traditional Semi-Detached Brick House with Tiled Roof,"A two-story, semi-detached house with a traditional brick facade and a tiled roof. The house has windows with white frames. The front door is black and white black.",,,,
b70,AI,Two-Story House with Hipped Roof and Dormers,"A two-story house brown house that features a hipped roof with dormers and a brick chimney. The windows are large and rectangular, with multiple panes. The front entrance is framed by a large stone portico with columns.",,,,
b71,AI,Tudor Revival House with Half-Timbered Facade and Stone Archway,A Tudor Revival house with a distinctive half-timbered facade and a steeply pitched roof with multiple gables. It is constructed of brick and features a prominent chimney. The windows are large and rectangular. The front entrance is framed by a stone archway.,,,,
b72,AI,Coastal Contemporary House,"A modern home with a white facade, a flat roof, teal accents, large windows with shutters, and a manicured lawn.",,,,
b73,AI,Two-Story House with Mansard Roof and Stone Portico,A two-story house with a mansard roof and a prominent cupola. The front entrance is framed by a large stone portico with columns.,,,,
b74,AI,Classic Tudor Revival House with Stone Facade and Brick Detailing,"A classic Tudor Revival house, characterized by its steeply pitched roof, stone facade, and prominent gables. The exterior is a blend of warm brown and tan tones, with intricate brickwork detailing around the windows and doorways. The tall, multi-paned windows are framed by leaded glass.",,,,
b75,AI,French Eclectic House with Mansard Roof,"A French Eclectic-style house, distinguished by its mansard roof with dormers. The exterior is rendered in a warm, light beige hue.",,,,
b76,AI,Charming Row of Red-Brick Terraced Houses with Slate Roofs,"A row of terraced houses, characterized by their brick facades, shared walls, and uniform design. The houses feature pitched roofs with dark, slate-colored tiles, and rows of symmetrically placed windows with white frames. The exterior walls are rendered in a warm red-brick tone.",,,,
b77,AI,French Eclectic House with Steep Roof and Light Beige Exterior,"A French Eclectic-style house, characterized by its steeply pitched roof with dormers. The exterior is painted in a warm, light beige color, complemented by light brown roof.",,,,
b78,AI,Modern House with Geometric Design and Cantilevered Balcony,"A modern house characterized by its clean lines and geometric shapes. It has wood-textured walls, floor-to-ceiling windows, and a cantilevered balcony on the upper level.",,,,
b79,AI,French Country House with Steep Roof and Creamy Beige Exterior,"A French Country-style house, characterized by its steeply pitched roof with dormers. It is painted in a warm, creamy beige color, complemented by black roof.",,,,
b80,AI,Modern-Traditional House with Stone Facade and Mansard Roof,A striking blend of modern and traditional elements. It features a classic stone facade with large windows framed by black shutters. The roof is a mansard style.,,,,
b81,AI,Two-Story Brick House with Blue-Gray Slate Roof and Multiple Windows,"A two-story house with brick facade and blue-gray slate roof, and multiple windows.",,,,
b82,AI,Sleek Minimalist Modern House with Black Accents and Wood Paneling,"A modern house with a sleek, minimalist design. The exterior is primarily white, with contrasting black accents on large windows, and wood panel walls.",,,,
b83,AI,Modern Three-Story House with Warm Wood Facade and Balcony,"Amodern, three-story house with warm-toned wood facade. Large windows with sleek black frames and balcony on the upper level adorn the facade.",,,,
b84,AI,Contemporary Row of Townhomes with Brick and Metal Cladding,A row of modern townhomes with a sleek and contemporary design. The exteriors are a striking combination of warm brick and cool metal cladding. Floor-to-ceiling windows with black frames dominate the facade.,,,,
b85,AI,Minimalist Modern House with Rooftop Terrace and Glass Railing,"A modern house with a sleek and minimalist design. The exterior is predominantly white, contrasted by a black accent on the windows and wood panels. It also has a rooftop terrace with glass railing.",,,,
b86,AI,Three-Story Modern House with Light Facade and Warm Wood Cladding,"A modern, three-story house with a sleek design. The exterior is a striking combination of light-colored facade and warm wood cladding.",,,,
b87,AI,Minimalist Two-Story House with Glass Tower and Wood Accents,"A modern, two-story house with a minimalist design. The exterior is predominantly white, contrasted by warm wood accents on the balcony and garage door. A striking glass tower rises above the main structure, featuring large windows.",,,,
b88,AI,Victorian-style Mansion with Red Brick Facade and Slate Roof,"A majestic Victorian-style mansion features a red brick facade, a slate roof with a prominent turret, and large bay windows adorned with intricate white trim.",,,,
b89,AI,Neoclassical House with White Columns and Slate Gray Roof,"A neoclassical-style house with white facade, complemented by a slate gray roof. The facade is defined by a row of stately white columns supporting a portico entrance. Tall, black-shuttered windows punctuate the walls.",,,,
b90,AI,Traditional House with Brick and Wood Exterior and Half-Timbering Accents,"A house with a warm blend of brick and wood exterior, with contrasting half-timbering accents. A steeply pitched roof with dormers adds to the traditional character. Tall, multi-paned windows with black frames are a defining feature of the facade.",,,,
b91,AI,Prairie-Style House with Stucco and Brick Facade and Dark Wood Accents,"A Prairie-style house with a low-pitched roof and horizontal lines dominating the facade. The exterior is a warm blend of stucco and brick, with dark wood accents around the windows and eaves.",,,,
b92,AI,Three-Story House with Terracotta Facade and Slate Gray Roof,"A three-story house with a warm terracotta facade. The roof is adorned with dark, slate gray tiles, complementing the building's classic architecture. It features a wraparound balcony on the upper level. 
",,,,
b93,AI,Tudor-Style House with Brick Exterior and Half-Timbering Accents,"A Tudor-style house with a classic exterior. The house is constructed of brick and features contrasting half-timbering accents, creating a visually appealing pattern. Tall, multi-paned windows with dark brown frames are a defining feature of the facade.",,,,
b94,AI,Classic Row of Red-Brick Houses with Tiled Roofs and Green Doors,"A row of red-brick houses with a style. The houses feature steeply pitched, tiled roofs with multiple chimneys. White-framed windows with multiple panes adorn the facades, and green door adding to the classic aesthetic.",,,,
b95,AI,Light Beige Brick House with Dark Green Windows and Roof,"A light beige brick facade house, complemented by dark green window and roof. A prominent chimney rises above the steeply pitched, shingled roof.",,,,
b96,AI,Contemporary Two-Story House with Stone Cladding and Warm Wood Accents,"A modern, two-story house with a sleek and contemporary design. The exterior is a striking combination of natural stone cladding and warm wood accents, creating a visually appealing contrast. Large windows with thin black frames and a flat roof with a slight overhang dominate the facade.",,,,
b97,AI,Modern Row of Townhomes with Rusty Red Walls and Wood Accents,"The image showcases a row of modern townhomes with a sleek and contemporary design. The exteriors are a striking combination of rusty red wall and wood accent and large windows. 
",,,,
b98,AI,"Warm Beige House with Black Roof, Shutters, and Brown Door","The exterior is painted a warm beige, contrasted by a black roof and black shutters adorning the tall windows, and at the center is the brown door. 
",,,,
b99,AI,Modern Brick House with Flat Roof and Balcony on Each Floor,"A modern house with a brick facade and a flat roof. The windows are large and rectangular, with a balcony on each floor.",,,,
b100,AI,Traditional-Contemporary House with Beige Exterior and Stone Accents,"A house with a blend of traditional and contemporary elements. The exterior is a warm beige color, contrasted by dark gray stone accents roof. A front porch with stone low walls.",,,,
b101,AI,Two-Story Red Brick House with Black Tiled Roof and White Trim,"A two-story red brick house with a black tiled roof. The windows are white and double-paned, and the front door is white also.",,,,
b102,AI,Three-Story Light Beige Stone House with Mansard Roof and Portico,"A three-story light beige stone house with a mansard roof. The windows are tall and narrow, and the front door is framed by a portico.",,,,
b103,AI,Two-Story Red Brick Townhouse with Gray Tiled Roof and Red Door,A two-story red brick townhouse with a gray tiled roof. It has white windows and red door at the front,,,,
b104,AI,"Three-Story Red House with White Roof, Balcony, and Front Porch","A three-story red house with a white roof. The windows are white and double-hung, and the front door is also white. The house has a front porch with white columns and a balcony on the second floor.",,,,
b105,AI,Medium Brown Brick House with Steep Roof and Stone Archway,"A three-story medium brown brick house with a steeply pitched roof and multiple chimneys. The windows are tall and narrow, and the front door is framed by a stone archway.",,,,
b106,AI,Two-Story Green House with Copper Roof and Stone Foundation,"A two-story house with a green facade, a copper roof, and a stone foundation. The windows are large and rectangular, and the front door is double-width.",,,,
b107,AI,Three-Story Brick House with Deep Brown Roof and White Columns,A three-story brick house with a deep brown roof and a front porch supported by white columns. It has white windows and door.,,,,
b108,AI,"Peach Facade House with Wood Accents, White Porch, and Green Door","A peach-colored facade with wood accent house, a brown roof, and a white front porch. Its windows are white and double-hung, and green door.",,,,
b109,AI,Mediterranean Villa with Terracotta Facade,"A luxurious Mediterranean-style villa with a terracotta facade, a tiled roof, arched doorways, green shutters, and a manicured lawn.",,,,
b110,AI,Three-Story Deep Brown Brick House with Gables and White Front Door,"A three-story deep brown brick house with a steeply pitched roof and multiple gables. It features tall, narrow windows and a white front door.",,,,
b111,AI,Modern Minimalist with Dark Wood Facade,"A contemporary home with a dark wood facade, a flat roof, large floor-to-ceiling windows, and a minimalist design.",,,,
b112,AI,Colonial Revival Brick House with Gray Shingled Roof and White Columned Porch,A Colonial Revival two-story brick house with a gray shingled roof and a front porch supported by white columns. It features large and rectangular windows,,,,
b113,AI,Two-Story Green House with Gray Roof and Front Porch with Columns,A two-story green house with a gray shingled roof and a front porch with columns.,,,,
b114,AI,Modern Two-Story White House with Red Tile Roof and Balcony,"A two-story modern house with a white facade and a red tile roof. It features large rectangular windows, a balcony on the second floor, and a porch at the front entrance.",,,,
b115,AI,"Red Brick Townhouses with Black Roofs, White Windows, and Attached Garages","Red brick townhouses with black tiled roofs. The windows are white and double-paned, and the front doors are black. The townhouses have attached garages and are surrounded by a small lawn.",,,,
b116,AI,Light Beige Colonial Revival House with Brown Roof and Black Trim,"A classic American Colonial Revival style house with a light beige exterior, featuring a brown door and roof. Black trim accents surround the windows, adding contrast to the traditional design.",,,,
b117,AI,Modern Minimalist House with White Facade and Wood Panel Accents,"The house is modern and minimalist, featuring clean lines and a white color palette. The flat roof is accented with wood panels, and large windows. It has balconies on both upper levels.",,,,
b118,AI,Three-Story White House with Black Shutters and Large Front Porch,A three-story white facade house with black shutters on all of the windows. The roof is a complex roof with multiple gables. The house features a large front porch with white columns.,,,,
b119,AI,Two-Story Brick House with White Trim and Complex Gabled Roof,A two-story house with brick-clad exterior and white trim around the windows and doors. The roof is a complex roof with multiple gables.,,,,
b120,AI,Red Brick House with White Trim and Slate Gabled Roof,"The red brick facade is accented by white trim around the windows and doors, and a white portico with columns graces the front entrance. The roof is a gabled slate roof, and the windows are double-hung with black shutters.",,,,
b121,AI,Traditional Red Brick Townhouses with White Trim and Sash Windows,Red brick townhouses with white trim around the windows and doors. The townhouses have a traditional style with sash windows.,,,,
b122,AI,Two-Story Stucco House with Beige Exterior and Black Shutters,"Two-story house with a stucco exterior in a warm beige color. The roof is dark brown, and the windows are large with black shutters. The front door is a double door with a red brick surround.",,,,
b123,AI,Two-Story Brick House with Gabled Roof and Dormer Window,"A two-story brick house with a front-facing gable roof and a dormer window. The brick is a warm red color, with white trim around the windows and door.",,,,
b124,AI,Colonial Revival Red Brick House with White Trim and Slate Brown Roof,"The exterior is predominantly red brick, featuring a slate brown roof and white trim around the windows. It exhibits a traditional Colonial Revival style with symmetrical windows and a central portico.",,,,
b125,AI,Brick House with Black Roof and Garage on the Left Side,The house features a brick exterior with a black roof and white trim around the windows. A garage is situated on the left side of the property.,,,,
b126,AI,Art Deco Elegance in White,"A striking Art Deco residence showcases a curved facade with white stucco, black accents, and a flat roof. Large black windows complement the clean lines, while manicured hedges frame the entrance.",,,,
b127,AI,Two-Story Stone Facade House with Gray Roof and White Columned Porch,A two-story house with a gray roof and a stone facade. The house has a porch with white columns and a large front door. The windows are black double-hung windows with white trim.,,,,
b128,AI,Bungalow-Style House with Green Facade and Dark Gray Roof,A bungalow-style house with a green facade and a dark gray tiled roof. The house features a front porch with white columns and a bay window.,,,,
b129,AI,White Facade House with Slate Gabled Roof and Brown Door,"The house features a white facade with matching white trim around the double-hung windows and brown door. It has a gabled slate roof, complementing the classic design",,,,
b130,AI,Cream-Colored House with Red Tile Roof and Decorative Glass Windows,"The house features a cream-colored facade and a red tiled roof. It has a central entrance with a brown door and large windows framed by white trim, showcasing decorative glasswork.",,,,
b131,AI,"White House with Dark Gray Roof and Red Shutters, Featuring a Spacious Porch","The house has a white facade with a dark gray roof. Large, rectangular windows are accented by red shutters, and a spacious front porch with white columns and railing adds to the welcoming design.",,,,
b132,AI,Yellow Facade House with Brown Trim and Stone-Accented Porch,"The house features a warm yellow facade with contrasting brown wood trim. Large, rectangular windows with divided lights enhance the structure, while a welcoming front porch is accented by stone details.",,,,
b133,AI,Modern Single-Story Home with Warm Wood Panels and Sleek Flat Roof,"A modern, single-story home with a sleek, minimalist design. The exterior is clad in warm-toned wood panels. The roof is flat and features a large overhang that provides shade for the spacious terrace. The windows are large and floor-to-ceiling, and the house is elevated off the ground.",,,,
b134,AI,Modern Minimalism House with Black Facade,"A sleek, modern home features a dark, monolithic exterior with sharp angles and a flat roof. Large windows illuminate the interior, while a stone pathway leads to the entrance, accented by warm lighting.",,,,
b135,AI,Multi-Story Apartment Building with Light Green Facade and Flat Roof,"A multi-story apartment building with a light green facade and a flat roof, accented by white trim around the windows.",,,,
b136,AI,Modern Grayish-Blue House with Dark Gray Roof and White Window Trim,"A modern house with a grayish-blue facade and a dark gray roof, featuring windows framed by white trim.",,,,
b137,AI,Contemporary Tropical Villa,"This modern villa showcases a striking A-frame roof, expansive wooden decking, and a lush green roof, creating a harmonious blend of contemporary design and tropical aesthetics.",,,,
b138,AI,Modern Prairie-Style Home with Stone Accents,"This contemporary Prairie-style home features a low-pitched roof, horizontal lines, and natural materials like wood and stone, creating a timeless and elegant aesthetic.",,,,
b139,AI,Cozy Craftsman Bungalow with Stone Landscaping,"This charming Craftsman bungalow features a welcoming covered porch with exposed rafters, natural wood siding, and a beautifully landscaped front yard with stone accents, creating a warm and inviting atmosphere.",,,,
b140,AI,Craftsman-Style Home with Green Facade,"This classic Craftsman-style home features a green facade, a low-pitched roof, and a welcoming front porch with exposed rafters, complemented by mature trees and manicured landscaping.",,,,
b141,AI,Prairie-Style Residence with Brick and Wood Accents,"This elegant Prairie-style home showcases a low-pitched roof, horizontal lines, and a harmonious blend of brick and wood accents, creating a timeless and inviting aesthetic.",,,,
b142,AI,Rustic Bungalow with Red Brick Facade,"This charming bungalow features a red brick facade, a sloping roof with a dormer window, and a welcoming front porch with stone columns, creating a cozy and inviting atmosphere.",,,,
b143,AI,Modern Bungalow with Peach Facade,"This contemporary bungalow features a peach-colored facade, a low-pitched roof, and a welcoming front porch with stone columns, complemented by manicured landscaping and a modern aesthetic.",,,,
b144,AI,Contemporary Two-Story Villa with White Facade,"This modern villa features a clean white facade, large windows, and a second-floor balcony, creating a sleek and minimalist aesthetic.",,,,
b145,AI,Modern Single-Story Residence with Green Roof,"This contemporary home features a flat roof covered in greenery, large sliding glass doors, and a spacious outdoor living area with a swimming pool, creating a seamless connection between indoor and outdoor spaces.",,,,
b146,AI,Contemporary Ranch-Style Home with Stone Accents,"This modern ranch-style home features a low-pitched roof, a stone-clad exterior, and a wood-toned garage door, creating a sleek and contemporary aesthetic.",,,,
b147,AI,Craftsman Bungalow with Stone and Wood Accents,"This classic Craftsman bungalow features a low-pitched roof, a stone-clad exterior, and a welcoming front porch with exposed rafters and wood accents, creating a cozy and inviting atmosphere.",,,,
b148,AI,Charming Bungalow with Blue Facade,"This cozy bungalow features a bright blue facade, a white picket fence, and a welcoming front porch with comfortable seating, creating a cheerful and inviting atmosphere.",,,,
b149,AI,Modern Tiny Home with Brick Accent,"This compact modern home features a sleek gray facade with a contrasting brick accent, a flat roof, and minimal landscaping, making it a low-maintenance and efficient living space.",,,,
b150,AI,Two-Story Victorian-Style Home with Blue Facade,"This elegant two-story Victorian home features a classic blue facade, intricate detailing, a white picket fence, and a beautifully landscaped front yard with colorful flowers.",,,,
b151,AI,Colonial Cottage with Terracotta Roof and White Columns,"A charming colonial cottage features a terracotta roof, white columns framing a double-door entrance, and a symmetrical facade complemented by manicured lawns and shrubbery, creating a classic and inviting curb appeal.",,,,
b152,AI,Contemporary Ranch with Stone Accents and Sunset Glow,"A modern ranch-style home showcases a clean white facade, stone accents, and a covered porch, illuminated by the warm hues of a setting sun, while meticulously landscaped grounds complete the inviting and contemporary aesthetic.",,,,
b153,AI,Modern Farmhouse with Black Exterior and Stone Accents,"A contemporary farmhouse showcases a dramatic black exterior contrasted by stone accents, a welcoming front porch, and a modern roofline, creating a striking and sophisticated curb appeal.",,,,
b154,AI,Victorian Cottage with Pastel Blue Facade and Red Roof,"A charming Victorian cottage features a pastel green facade, red roof, and a wraparound porch adorned with colorful flowers, creating a whimsical and inviting atmosphere amidst lush greenery.",,,,
b155,AI,Colonial Revival with Terracotta Roof and White Columns,"A classic Colonial Revival home boasts a terracotta roof, white columns framing a double-door entrance, and a symmetrical facade complemented by manicured lawns and colorful landscaping, creating a timeless and elegant curb appeal.",,,,
b156,AI,Mediterranean Villa with Terracotta Roof and Arched Entryway,"A Mediterranean-style villa features a terracotta roof, arched entryway, and stucco exterior adorned with wrought-iron balconies, complemented by lush landscaping and vibrant flowers, creating a warm and inviting atmosphere.",,,,
b157,AI,Grand Mediterranean Mansion with Arched Windows and Terracotta Roof,"A majestic Mediterranean mansion showcases a grand facade with multiple arched windows, a terracotta roof, and ornate detailing, complemented by manicured gardens and potted plants, creating an imposing and elegant presence.",,,,
b158,AI,Mediterranean Estate with Terracotta Roof and Arched Entryway,"A grand Mediterranean estate features a terracotta roof, arched entryway, and stucco exterior adorned with wrought-iron balconies, complemented by manicured lawns and vibrant landscaping, creating a luxurious and inviting atmosphere.",,,,
